Linneweber, V.
Julius, C.
Kreins, P.
Meyer, J.
van Minnen,  J.
Voigt, T.
Zimmermann, R.
Krol, M. S.
Benabdellah, B.
Albrecht, K.-F.
Pomaz, V.L.
Logofet, D.O.
Kaspar, F.
Hooss, G.
Ströbl, B.
Tenhunen, J.
Thornton, P.
Falge, E.M.
Elbers, J.A.
Grünwald, T.
Kowalski, A.S.
Rannik, Ü.
Schröder, M.
Grunwald, A.
Lingner, S.
Ott, K.
Schmitt, D.
Hünerbein, A.
Lotze-Campen, H.
Tear, S.
Elena, A.
Tsvetsinskaya, E. A.
Dickinson, R. E.
Zeng, X.
Jin, Y.
Muller, J.
Entremont, R.
Privette, J.
Roy, D.
Schöniger, M.
Dietrich, J.
Groth, P.
Hattermann, F.
Wattenbach, M.
Soni, B.
Bogardi, J. J.
Bauer, S.
Campe, S.
Sohn, H.-D.
Sperlich, S.
Khodri, M.
Paillard, D.
Duplessy, J.C.
Kageyama, M.
Mogensen, I.A.
Johnsen, S.J.
Wagner, W.
Scipal, K.
Pathe, C.
Rudolf, B.
Hauffe, D.
Bordi, I.
Sutera, A.
Hourcade, J.C.
Keeler, A.
Krause, S.
Krol, M.S.
Pfister, L.
Kwadijk, J.
Musy, A.
Buiteveld, H.
Busch, N.
Disse, M.
Engel, H.
Hundecha, Y.
Lammersen, R.
Ritter, N.
Bigelow, N.H.
Brubaker, L.B.
Edwards, M.E.
Anderson, P.M.
Andreev, A.A.
Christensen, T.R.
Kaplan, J.O.
Lozhkin, A.V.
Matveyeva, N.V.
Murray, D.F.
Razzhivin, V.Y.
Ritchie, J.C.
Walker, D.A.
Gajewski, K.
Wolf, V.
Holmqvist, B.H.
Igarashi, Y.
Kremenetskii, K.
Paus, A.
Pisaric, M.F.J.
Volkova, V.S.
Erhardt, M.
Archer, D.
Milovich, J.
Plattner, K.
Ashendel, C.
Renssen, H.
Langenberg, S.
Lützenkirchen, S.
Gregory, P.J.
Ingram, J.S.I.
Andersson, R.
Chase, T.N.
Grace, P.R.
Gray, A.J.
Hamilton, N.
Hardy, T.B.
Thomalla, F.
Vincent, C.E.
Brown, J.
Kelman, I.
Möller, I.
Spence, R.
Spencer, T.
Grothmann, T.
Bachelet, D.
Drapek, R. J.
Lenihan, J. M.
Gerber, S.
Brügger, P.
Stocker, T. F.
Mann, M. E.
Scholze, M.
Dargaville, R.
McGuire, A.
Kicklighter, W.
Clein, J.
Kaplan, J.
Meier, R.
Melillo, J.
Moore III,  B.
Reichenau, T.
Schloss, S.
Sitch, S
Pan, Y.
McGuire, A. D.
Melillo, J. M.
Kicklighter, D. W.
Schröter, D.
De Ruiter,  P. C.
Zebisch, M.
Kenneweg, H.
Hauf, Y.
Rock, J.
Müller, M.
Monahan, A.
Lind, P.G.
Corte-Real, J.A.
Kurths, J.
Gallas, J.A.C.
Anderson, B.
Tucker, C. J.
Potter, C. S.
Woodcock, C. E.
Fichter, C.
Buizer, J.
Cash, D.
Dickson, N.
Dowdeswell, E.
Doyle, H.
Gallopín, G.
Glaser, G.
Goldfarb, L.
Hall, J.
Hassan, M.
Imevbore, A.
Iwu, M.
Juma, C.
Kates, R.
Krömker, D.
Kurushima, M.
Lebel, L.
Lee, Y. C.
Mabogunje, A.
Malpede, D.
Matson, P.
Moldan, B.
Montenegro, G.
Ooi, L. G.
Pillay, D.
Rosswall, T.
Sarukhán, J.
Wakhungu, J.
Thieken, A.
Brücher, T.
Graczyk, D.
Krüger, A.
Leckebusch, G.C.
Pinskwar, I.
Radziejewski, M.
Szwed, M.
Rial, J.A.
Pielke, R.A.
Cox, P.
de Nobelt-Ducoudre,  N.
Prinn, R.
Reynolds, J.
Salas, J.D.
Jacob, K.
Zickfeld, K.
Slawig, T.
Lüdeke, M. K. B.
Lambin, E.F.
Chasek, P.S.
Kerven, C.
Kleidon, A.
Xue, Y.
Lvovsky, A.
Wei, X.
Schen, Y.R.
Kriegler, E.
Kleinen, T.
Cuntz, M.
Zavarzin, G.A.
Majda, A. J.
Audusse, E.
Bouchut, F.
Bristeau, M.-O.
Perthame, B.
Helling, Ch.
Woitke, P.
Nowak, U.
Sprinz, D. F.
Hovi, J.
Suarez, P.
Patt, A.
Schrag, D.
Foster, C.
Landy, M.
DeWitt, J.
Donahue, B.
Ingerson, A.
Shutkin, W.
Polsky, C.
Gaffin, S.
Martello, M.L.
Neff, R.
Pulsipher, A.
Selin, H.
Vyushin, D.
Peterson, B.J.
Holmes, R.M.
McClelland, J.W.
Vörösmarty, C.J.
Lammers, R.B.
Shiklomanov, A.I.
Shiklomanov, I.A.
Alley, R.B.
Solanki, S.
Ohmura, A.
Beer, J.
Fröhlich, C.
Latif, M.
