Linneweber, V.
Ahmed, A. Z.
Cooke, R.
Mueller, D.
Fulton, L.
McKinnon, A.
Perczyk, D.
Franzke, C. L. E.
Fu, Z.
Cullmann, D.
Box, J. E.
Schaffernicht, E. J.
Diengdoh, G.
Mattey, D.
Eichner, C.
Lüttger, A. B.
Boulay, A.-M.
Bare, J.
Camillis, C. de
Gassert, F.
Humpert, S.
Inaba, A.
Itsubo, N.
Lemoine, Y.
Margni, M.
Motoshita, M.
Núñez, M.
Ridoutt, B.
Schencker, U.
Shirakawa, N.
Vionnet, S.
Worbe, S.
Yoshikawa, S.
Pfister, S.
Searchinger, T. D.
Estes, L.
Rubenstein, D.
Heimlich, R.
Licker, R.
Maslin, M.
Roming, N.
Schwanitz, J.
Sillmann, J.
Benduhn, F.
Horton, J. B.
Kemp-Benedict, E.
Rothman, D. S.
Ruijven, B. J. van
Levy, M.
Solecki, W.
Hans Joachim,  Schellnhuber
Stone, D. A.
Eicken, H.
Li, Y.
Ceglarz, A.
Ancygier, A.
Ceglarz, Andrzej
Bolch, T.
Walter, J.
Beckmann, V.
Andersson, J. C. M.
Kagawa, S.
Nansai, K.
Beneking, A.
Grabow, C.
Grosskinsky, S.
Timme, M.
Sun, A. Y.
Buschmann, S.
Mathesius, S.
Higgings, S. I.
Bogarth, H.
Conijn, S. J.
Izzaurralde, C.
Jongschaap, R. E.
Shcherbak, T.
Stratonovic, P.
Teixera, E. A.
Lobanova, A.
van Bussel,  L.
Kroisleitner, C.
Fetzel, T.
Bulgheroni, C.
Kastner, T.
Levers, C.
Niedertscheider, M.
Paracchini, M.L.
Verkerk, P. J.
Fischer, G.
Velthuizen, H. van
Obersteiner, M.
d'Croz, D. M.
Dutton, A.
Carlson, A. E.
Long, A .J.
Raymo, M. E.
Manevski, K.
Armas-Herrera, C. M.
Beaudoin, N.
Charfeddine, M.
Eitzinger, J.
Ferrise, R.
Garcia de Cortazar-Atauri,  I.
Giglio, L.
Hlavinka, P.
Hoffmann, M. P.
Launay, M.
Manderscheid, R.
Mary, B.
Öztürk, I.
Pacholski, A.
Ripocche-Walter, D.
Roggero, P. P.
Roncossek, S.
Röttiger, R. P.
Ruget, F.
Sharif, B.
Trnka, M.
Ventrella, D.
Weigel, H.-J.
Wu, L.
Mohammed, Y. K.
Lu, W.
Qian, X.
Xu, F.
Xiao, G.
Ozken, I.
Stemler, T.
Islam, S.
Mason-D'Croz, D.
Frieler, Katja
Levermann, Anders
Müller, Christoph
Gerten, Dieter
Beronov, B.
Feng, Q. Y.
Norby, R. J.
De Kauwe,  M. G.
Domingues, T. F.
Duursma, R. A.
Ellsworth, D. S.
Goll, D. S.
Luus, K. A.
MacKenzie, A. R.
Medlyn, B. E.
Thomas, R.
Walker, A. P.
Yang, X.
Nagao, R.
White, M.
Barjenbruch, U.
Beck, S.
Burrows, J.
Becker, P.
Biercamp, J.
Braesicke, P.
Claußen, M.
Engels, A.
Fischer-Bruns, I.
Hüttl, R. F. J.
Jung, T.
Kleber-Janke, T.
Körtzinger, A.
Kottmeier, C.
Krohn, J.
Macke, A.
Mai, S.
Matthes, K.
Petersen, J.
Rhein, M.
Riese, M.
Rödder, S.
Schmidt, T.
Schwab, M.
Stevens, B.
Storch, H. von
Teutsch, G.
Maluck, J.
Karp, D.S.
Wolny, S.
Mathesius, Sabine
Hofmann, Matthias
Caldeira, Ken
Cahill, N.
Parnell, A. C.
van der Sande,  M.GT.
Thompson, J.
Arets, E.J.M.M.
Alarcón, A.
Álvarez-Sánchez, J.
Ascarrunz, N.
Barajas-Guzmán, G.
Bongers, F.
Carvalho, F.A.
Casanoves, F.
Cornejo-Tenorio, G.
Costa, F.R.C.
de Castilho,  C.V.
Duivenvoorden, J.F.
Dutrieux, L.P.
Enquist, B.J.
Fernández-Méndez, F.
Finegan, B.
Gormley, L.H.L.
Healey, J.R.
Hoosbeek, M.R.
Ibarra-Manriquez, G.
Junqueira, A.B.
Levis, C.
Licona, J.C.
Lisboa, L.S.
Magnusson, W.E.
Martinez-Ramos, M.
Martinez-Yrizar, A.
Martorano, L.G.
Maskell, L.C.
Mazzer, L.
Meave, J.A.
Mora, F.
Muños, R.
Nytch, C.
Pansonato, M.P.
Parr, T.W.
Paz, H.
Simoes Penello,  M.
Pérez-Garcia, E.A.
Renteria, L.Y.
Rodriguez-Velazquez, J.
Rozendaal, D.M.A.
Ruschel, A.R.
Salgado Negret,  B.
Schietti, J.
Sinclair, F.L.
Souza, P.F.
Souza, F.C.
Stropp, J.
Steege, H.
Swenson, N.G.
Toledo, M.
Uriarte, M.
van der Hout,  P.
Walker, P.
Zamora, N.
Peña-Claros, M.
Kornhuber, K.
Marzano, M.
Taylor, P.
Bathgate, S.
Borges, J. G.
Clerkx, S.
Kostov, G.
Nicholl, B.
Palahí, M.
Ray, D.
Sing, L.
Zell, J.
Moustakas, A.
Kan, H.
Vocciante, M.
Hallmann, C.
Vinke, K.
Kinkeldey, C.
Schiewe, J.
Gerstmann, H.
Götze, C.
Taubenböck, H.
Wurm, M.
Koné, B.
Petoukhov, R. V.
Palus, M.
Pirttioja, N.
Ruiz-Ramos, M.
Acutis, M.
Baranowski, P.
Bodin, P.
Buis, S.
Deligios, P.
Destain, M.-F.
Dumont, B.
Hvalinka, P.
Jacquemin, I.
Krzyszczak, J.
Lorite, I. J.
Minet, J.
Minguez, M. I.
Montesino, M.
Perego, A.
Rodríguez, A.
Sanna, M.
Slawinski, C.
Li, T.
Bouman, B.
Bregaglio, S.
Brissson, N.
Challinor, A .J.
Confalonieri, R.
Conijn, J. G.
Fumoto, T.
Gaydon, D.
Jongschapp, R. E. E.
Kemanian, R. A.
Kim, S. H.
Marcaida III,  M.
Nakagawa, H.
O'Leary, J. G.
Oriol, P.
Singh, B.
Singh, U.
Soo, H. K.
Tang, L.
Wilkens, P.
Yoshida, H.
Zhang, Z.
Naaburs, G.-J.
Nocke, Thomas
Strauss, B.
Kulp, S.
Mirasgedis, S.
Lah, O.
Pfannerstill, M.
Brandt, C.
Wouters, H.
Früh, B.
Demuzere, M.
Robiou du Pont,  Y.
Shved, G. M.
Ermolenko, S. I.
Jorgenson, J. S.
Frühauf, C.
Hoogenboom, G.
Prasch, M.
Weidinger, R.
Jiménez-Cisneros, B.
Cogley, J. G.
Mwakalila, S.
Nishijima, A.
Klijn, F.
Penning-Rowsell, E. C.
Dettinger, M. D.
Minoli, S.
Carozzi, M.
Villoria, N. B.
Shin, J.
Zhao, L.
Song, C.
Brinckmann, N.
Greuell, W.
Donnelly, C.
Pisacane, G.
Roudier, P.
Presno Talubo,  J. P.
Jacildo, A. J.
Malenab, C. T.
Pabico, J. P.
Dorado, M. A.
Franks, M.
Belaia, M.
Funke, M.
Glanemann, N.
Rother, H.
Shulmeister, J.
Fink, D.
Alexander, D.
Bell, D.
Fernandes, E.
Mira-Salama, D.
Subramaniyam, N. P.
Hyttinen, J.
Sluisveld, M. A. E. van
Harmsen, J. H. M.
McCollum, D. L.
Pechan, A.
Pugh, T.
Szporak-Wasilewska, S.
Kubrak, J.
Strauss, B. H.
Cano-Crespo, A.
Oliveira, P. J. C.
Cardoso, M.
Stürck, J.
Zanden, E. H. van der
Schulp, C. J. E.
Helming, J.
Schrammeijer, E.
Magcale-Macandog, D.
Kuan-Hui Lin,  E.
Manuta, J. B.
Leroy, C.
Leser, U.
Köthur, P.
Witt, C.
He, W.
Lam, J.
Han, Q.-L.
Afsar, O.
Schultz, D.
Spiegel, S.
Albayrak, S.
Krishnan, R.
Shakun, J. D.
Marcott, S. A.
Pfister, P. L.
Santer, B. D.
Bard, E.
Goldner, A.
Pierrehumbert, R. T.
Ricke, K. L.
Moreno-Cruz, J. B.
Lauwaet, D.
Hooyberghs, H.
de Ridder,  K.
Agarwala, M.
Binner, A.
Doherty, P.
Moerner, W. E.
Smoot, G. F.
Klutse, N. A. B.
Diallo, I.
Sarr, A.
Diedhiou, A.
Kamga, A.
Lamptey, B.
Ali, A.
Gbobaniyi, E. O.
Owusu, K.
Wu, Xiangjun
Kan, Haibin
Jia, J.
Song, Z.
Banerjee, T.
Mitra, C.
Mukhin, D.
Gavrilov, A.
Feigin, A.
Loskutov, E.
Auer, S.
Caldés, N.
de la Rúa,  C.
Lechón, Y.
Rodríguez, I.
Trieb, F.
Friedman, D.
Fruhmann, C.
Ortner, A.
Welisch, M.
Totsching, G.
Veum, K.
Uslu, A.
Kraan, C.
Menichetti, E.
Elgharras, A.
Kakarakosta, C.
Marinakis, V.
Papapostolou, A.
Pasicko, R.
Kordic, Z.
Hess, D.
Kern, J.
Fichter, T.
Moser, M.
Pfenning, U.
Caldez, N.
de la Rua,  C.
Frieden, D.
Wu, M.
Camia, A.
Marxen, A.
Ferrari, M. D.
Schmidt, B.
Bojak, I.
Boie, S.
Kneer, F.
Hadjikhani, N.
Han, X.
Bi, Q.
Li, W.
Maslennikov, O. V.
Nekorkin, V. I.
Semyachkina-Glushkovskaya, O.
Pavlov, A.
Borisova, E.
Gisbrecht, A.
Sindeeva, O.
Abdurashitov, A.
Shirokov, A.
Navolokin, N.
Zinchenko, E.
Gekalyuk, A.
Ulanova, M.
Zhu, D.
Tuchin, V.
Sonnenschein, B.
Tanaka, H.-A.
Nishikawa, I.
Shi, Y.
Wang, W.
Zhao, H.
Steinman, B. A.
Tingley, M.
Miller, S. K.
Althaus, H.-J.
Garcia-Ulloa, J.
Geddes, A.
Gregg, J. S.
Hanger, S.
Harper, R. J.
Larsen, R. K.
Leitner, S.
Nordborg, M.
Ölund, M.
Portugal-Pereira, J.
Reinhard, J.
Scheiffle, L.
Volz, D.
Blumenthal, I.
Bueno de Mesquita,  B.
Kallbekken, S.
Stokman, F.
Saelen, H.
Thomson, R.
Keeling, R.
Berezowski, T.
Szcześniak, M.
Kardel, I.
Michałowski, R.
Mezghani, A.
Fischer, E. M.
Wohland, J.
Childers, K.
Nielsen, J.
Heck, V.
Boysen, L. R.
Duscha, V.
De Decker,  Y.
Garcia Cantu Ros,  A.
Breevoort, P. van
Alexander, R.
Fyson, C.
Kuramochi, T.
Sterl, S.
Cantzler, J.
Parra, P.
Höhne, N:
Rao-Skirbekk, S.
Davis, S. J.
Jackson, R. B.
Cowie, A.
Milne, J.
Peters, G.
Andrew, R.
Shrestha, G.
Gasser, T.
Heidug, W. K.
Kraxner, F.
Littleton, E.
Moreira, J. R.
Rogner, M.
Rubin, E.
Sharifi, A.
Yongsung, C.
Clarke, L. E.
Edmonds, J. A.
Strauch, M.
Lüdtke, S.
Gupta, H.
Shi, S.
Sippel, S.
Otto, F. E. L.
Guillod, B. P.
Porkka, M.
Gudipudi, R. V.
Fluschnik, T.
Otto, S. A. C.
Harmsen, M. J. H. M.
Berg, M. van den
Fichtner, C.
Hellmann, F.
Kamiński, W.
Kostecki, R. P.
Yuan, J.
Klinshov, V. V.
Steinitz, G.
Childers, K. H.
Flagg, C. N.
Rossby, T.
Schrum, C.
Matos, J. A. O.
Pereira, A. J. S. C.
Neves, L. J. P. F.
Doupe, P.
Rue de Can,  S. de la
Shekatkar, S. M.
Ziegenhagen, I.
Flores-López, F.
Goetz, A.
Matuschke, I.
Krapp, M.
Lorbacher, K.
Nauels, A.
Marcinkowski, P.
Giełczewski, M.
Izydorczyk, K.
Frątczak, W.
Rumbaur, C.
Thevs, N.
Ahlheim, M.
Brieden, A.
Cyffka, B.
Feike, T.
Frör, O.
Gärtner, P.
Halik, Ü.
Hill, J.
Hinnenthal, M.
Keilholz, P.
Kleinschmit, B.
Kuba, M.
Mader, S.
Othmanli, H.
Pelz, S.
Schroeder, M.
Siew, T. F.
Stender, V.
Thomas, F. M.
Zhao, X.
Luo, J.
Yimit, H.
Yu, R.
Zhao, C.
Schlather, M.
Malinowski, A.
Oesting, M.
Strokorb, K.
Schulte-Uebbing, L.
Macaspac Hernández,  A.
Winter, M.
Spork, C. C.
Chavez, A.
Gabarrell Durany,  X.
Patel, M. K.
Villalba Méndez,  G.
Taylor, D.
Harrington, H. A.
Kramár, M.
Mischaikow, K.
Porter, M. A.
Wegwerth, A.
Ménot, G.
Kaiser, J.
Dellwig, O.
Graedel, T. E.
Wang, B.
Keung Wong,  W.
Hic, C.
Frantzeskaki, N.
Leng, S.
Kretschmer, M.
Kopp, R. E.
Gehrels, W. R.
Hay, C. C.
Mitrovica, J. X.
Morrow, E. D.
Roolfs, C.
Gaitan, B.
Minnen, J. G. van
Strengers, B.
Beusen, A.
Mangili, C.
McManus, J. F.
Pol, K.
Raynaud, D.
Yin, Q. Z.
Cacho, I.
Capron, E.
Ferretti, P.
Grimalt, J. O.
Kawamura, K.
Landais, A.
Martrat, B.
Mokeddem, Z.
Parrenin, F.
Prokopenko, A. A.
Raschid, H.
Vazquez Riveiros,  N.
Rafique, R.
de Jong,  R.
Asrar, G. R.
Kuparinen, A.
Valdovinos, F. S.
Lassaux, H.
Martinez, N. D.
Johnson, M.
Galbraith, D.
Gloor, M.
De Deurwaerder,  H.
Guimberteau, M
Hudson, N. I.
Conway, D.
Bialonski, S.
Geier, C.
Lehnertz, K.
Boysen, M.
Notbohm, A.
Herrmann, C. S.
Basler, D.
Hoch, G.
Lenz, A.
Randin, C. F.
Vitasse, Y.
Siegmund, J. F.
Kan, A. van
Jegminat, J.
Rogozhina, I.
Petrunin, A. G.
Vaughan, A. P. M.
Steinberger, B.
Kaban, M. K.
Rickers, F.
Thomas, M.
Koulakov, I.
Bren d'Amour,  C.
Strohbach, M. W.
Kain, J.-H.
Kaczorowska, A.
Stadtherr, L.
Paton, E. N.
Salvacion, A. R.
Mavume, A.
Alo, B. I.
Blivi, B. A.
Odubanjo, O.
Aflakpui, G. K. S.
Fofack, H. L.
Sedogo, L. G.
Mwanjalolo, M.
Nowbuth, M. D.
Boko, M. C.
Murisa, M.
Diop, S.
Ayonghe, S. N.
Tesema, Z. W.
Haverd, V.
Maiorano, A.
Kassie, B. T.
Rezaei, E. E.
Liu, B.
Reynolds, M.
Plietzsch, A.
Pettifor, H.
Ramea, K.
Lin, Z.
Edelenbosch, O. Y.
Fujisawa, S.
Wang-Erlandsson, L.
Bastiaanssen, W. G. M.
Senay, G. B.
Dijk, A. I. J. M. van
Guerschman, J. P.
Savenije, H. H. G.
Becker, S. L.
Sælen, H.
Vuuren, D. P. Van
Doelman, J. C.
Harmsen, M.
Boer, H. S. de
Bouwman, L. F.
Girod, B.
Lassaletta, L.
Sluis, S. van der
Fricko, O.
Cuaresma, J. C.
Samir, K. C.
da Silva,  L. A.
Gernaat, D.
Doelman, J.
Maragoni, G.
Visbek, M.
Börner, J.
Dombrowsky, I.
Peron, T.
Barfuss, W.
López, C.
Hernández-García, E.
Levanova, T. A.
Kazakov, A. O.
van Kan,  Adrian
Jegminat, Jannes
Schultz, Paul
Peron, Thomas
Eroglu, Deniz
Stemler, Thomas
Ramírez Ávila,  Gonzalo Marcelo
Rodrigues, Francisco A.
Plietzsch, Anton
Heitzig, Jobst
Spiegel, Stephan
Schultz, David
Slangen, A. B. A.
Adloff, F.
Leclercq, P. W.
Häyhä, T.
Cornell, S. E.
Calmanti, S.
Weert, F. H. A. van
Koellner, T.
Schweizerhof, H.
Steinbacher, K.
Kleis, K.
Schäfer, B.
Witthaut, D.
Kurths, jürgen
Schewe, Jacob
Mengel, Matthias
Robinson, Alexander
Marzeion, Ben
Winkelmann, Ricarda
Dietrich, J.-P.
Braun, F.
Heger, I.
Ludewig, T.
Reusswig, Fritz
Braun, Florian
Heger, Ines
Ludewig, Thomas
Eichenauer, Eva
Lass, Wiebke
Engemann, D. A.
Waters, C. N.
Summerhayes, C.
Barnosky, A. D.
Cearreta, A.
Edgeworth, M.
Ellis, E. C.
Fairchild, I. J.
Gałuszka, A.
Grinevald, J.
Ivar do Sul,  J.
Jaendel, C.
McNeill, J. R.
Oreskes, N.
Revkin, A.
Richter, Daniel deB.
Syvitski, J.
Vidas, D.
Wagreich, M.
Wing, S. L.
Wolfe, A. P.
Agarwal, A.
Maheswaran, R.
Khosa, R.
Drastig, K.
Prochnow, A.
Libra, J.
Kipling, R. P.
Virkajärvi, P.
Breitsameter, L.
Curnel, Y.
De Swaef,  T.
Gustavsson, A.-M.
Hennart, S.
Höglind, M.
Järvenranta, K.
Persson, T.
Picon-Cochard, C.
Sandars, D. L.
Scollan, N. D.
Sebek, L.
Seddaiu, G.
Topp, C. F. E.
Twardy, S.
Middelkoop, J. Van
Bellocchi, G.
Özkan, S.
Vitali, A.
Lacetera, N.
Amon, B.
Bannink, A.
Bartley, D. J.
Blanco-Penedo, I.
de Haas,  Y.
Dufrasne, I.
Eory, V.
Fox, N. J.
Garnsworthy, P. C.
Gengler, N.
Hammami, H.
Kyriazakis, I.
Lessire, F.
Macleod, M.
Robinson, T. P.
Ruete, A.
Shrestha, S.
Stott, A. W.
Vanrobays, M.-L.
Vosough Ahmadii,  B.
Wheelhouse, N.
Williams, A. G.
Wilson, A. J.
Østergaard, S.
Surovyatkina, E.
Kraemer, J. F
Macau, E. E. N.
Ramos, A. M. T.
Ockenfels, A.
Cooper, R.
Cramton, P.
Gollier, C.
Laurent, E.
MacKay, D. JC
Nordhaus, W.
Stiglitz, J.
Stoft, S.
Tirole, J.
Weitzman, M. L.
Dingenen, R. van
Reis, L. A.
Drouet, L.
Heyes, C.
de Boer,  H. S.
Daigolou, V.
Strubegger, M.
Scholz, Y.
Gils, H. C.
Geiger, T.
Asay-Davis, X. S.
Cornford, S. L.
Galton-Fenzi, B. K.
Gladstone, R. M.
Holland, D. M.
Holland, D.
Holland, P. R.
Martin, D. F.
Mathiot, P.
Ruane, A.
Alderman, P.
Challinor, A. C.
De Sanctis,  D.
Garcia-Vila, M.
Izzaurralde, R. C.
O'leary, G.
Pugh, T. A.
Semenov, M.
White, J.
Daly, H.
Broin, E. O.
Karkatsoulis, P.
Deng, T.
Iyengar, S. V.
Zheng, Y.
Serdukova, L.
Kountchou, M.
Louodop, P.
Fotsin, H.
Astakhov, O.
Astakhov, V.
Boysen, L.
Porwollik, V.
Reddy, A.
Sakurai, G.
Wit, A. de
Di Capua,  G.
Ramanthan, V.
Gaffney, O.
Serdeczny, O. M.
Kalnay, E.
Koven, C. D.
Shu, S.
Stocker, B.
Acreman, M. C.
Tylec, L.
Oglęcki, P.
Mezghani,, A.
Driessen, P. P. J.
Quevauviller, P.
Hooker, J. E.
Stößel, B.
Freier, B.
Clement, J.
Garcia-Alaniz, N.
Kolb, M.
Eupen, M. van
Yu, Y.
Davies, E.
Bijl, D. L.
Bevione, M.
Hejazi, M.
Tebaldi, C.
Sanderson, B. M.
Leitao, J.
Müller-Hansen, F.
McIntyre, C.
Jamieson, R. A.
Voort, T. S. van der
Prufer, K.
Eglinton, T. I.
Yang, L.-P.
Song, E.-Z.
Ding, S.-L.
Brown, R. J.
Ma, X.-Z.
Schuck-Zöller, S.
Griensven, A. van
Pechlivanidis, I. G.
Plötner, S.
Seidou, O.
Vervoort, R. W.
Daggupati, P.
Motovilov, Y.
Leng, G.
Alemayehu, T.
Samaniego, L.
Jeffery, M. L.
Gieseke, R.
Gebel, R.
Stevens, D.
Piao, S.
Huang, Y.
Huang, M.
Lian, X.
Peng, S.
Wang, T.
Zeng, Z.
Schauberger, B.
Archontoulis, S.
Balkovic, J.
Schlenker, W.
Christiansen, D. R.
Cardoso, M. F.
Dalla-Nora, E. L.
Callaghan, M. W.
Schuhmann, H.
Paterson, J. S.
Moiseyev, A.
Dinniman, M. S.
Jenkins, A.
Gambardella, C.
Tigchelaar, M.
Timm, O. E.
Doelmann, J. C.
Gusti, M.
Obersteiner, M
Waldhoff, S.
Irvine, P. J.
Kravitz, B.
Lawrence, M. G.
Caminade, C.
Hendy, E.
Kassie, B.
Muri, H.
Oschlies, A.
McRobie, F. H.
Wyrwoll, K.-H.
Brzeski, P.
Lazarek, M.
Perlikowski, P.
Raes, F.
Stafford Smith,  M.
Kunz, M.
Kolokotronis, V.
Meon, G.
Petrow, T.
Glade, T.
Kunstmann, H.
Fröhle, P.
Marx, A.
Smiatek, G.
Wanger, C.
Köhl, M.
Plugge, D.
Karl, H.
Kersting, M.
Lucas, R.
Werbeck, N.
Thimann, C.
Weber, A.
Biswas, D.
Diaz-Guilera, A.
Suresh, K.
Sabarathinam, S.
Thamilmaran, T.
Schulz, P.
Vasilakos, A. V.
Xiujing, H.
Xia, F.
Abakumov, M.
Gorin, D.
Avramov, L.
Fedosov, I.
Namykin, A.
Serov, A.
Lychagov, V.
Maslyakova, G.
Checkhonin, V.
Franović, I.
Kostić, S.
Klinshov, V.
Nekorin, V.
Sekar Iyengar,  A. N.
Graff Zivin,  J.
Abarbanel, H. D. I.
Kriewald, S.
Stagl, J. C.
Christoff, P.
Borisova, E. G.
Abdurashitov, A. S.
Tuchin, V. V.
Feng, M.
Qu, H.
Yi, Z.
Xie, X.
Afsar, Ozgur
Tirnakli, Ugur
Gulai, A.
Rahner, E.
Prestele, R.
Alexander, P.
Eitelberg, D. A.
Engström, K.
Krisztin, T.
Meiyappan, P.
Schüngel, J.
Baranzelli, C.
Batista e Silva,  F.
Brown, C.
Butler, A.
Dunford, R.
Eitelberg, D.
Harrison, P. A.
Holzhauer, S.
Jacobs-Crisioni, C.
Lavalle, C.
Powell, T.
Steinbuks, J.
Wise, M. A.
Xing, X.
Karimi, H. R.
Jiang, B.
Zhunchenko, E.
Sindeev, S.
Gekaluk, A.
Ward, H.
Wenz, Leonie
Steckel, J.C.
Minx, J.C.
Despres, J.
Garard, J.
Riousset, P.
Lenzi, D.
Dorsch, M. J.
Harrs, J.-A.
Brugger, J.
Mildrexler, D. J.
Motesharrei, S.
Wang, K.
De Cara,  S.
Baby, S.
Hoffmann, M.
Louarn, G.
Ripoche-Wachter, D.
Vantrella, D.
Hirschfeld, J.
Knorr, A.
Neuhaus, A.
Pankoke, C.
Walz, S.
Wiesemann, E.
Karakosta, C.
Mielke, J.
Vermaßen, H.
Fernandez Milan,  B.
Rogelj, R.
Schleer, C.
Lüdeke, M. K. B
Washington, R.
Conway, C.
Snow, J.
Stein, S.
Zaherpour, J.
Mount, N. J.
Ding, J.
Kumar, R.
Kundu, D.
Veldkamp, T. I. E.
Kraft, P.
Gelfan, A.
Ogtrop, F. van
Shi, P.
Siegmund, N.
Chamorro, A.
Huang, J.
Kalugin, A.
Krylenko, I.
Mishra, V.
Wallner, M.
Klinge, G.
Franz, S.
Thiel-Klein, A.
Rogge, L.
Neis, R.
Schlenther, C.
Hirsbrunner, S.
Delusca, K.
Weigel, H. J.
Ahuja, L.
Anapalli, S.
Heinlein, F.
Olioso, A.
Ramirez Villegas,  J.
Rötter, E. R.
Seidel, S. I.
Srivastava, A.
Twine, T.
Webber, H.
Virgin, I.
Fielding, M.
Sundell, M. F.
Granit, J.
Lie, X.
Han, G.
Onigkeit, J.
Tielboerger, K.
Rao, N. D.
Kesteren, L. van
Mastrandrea, M.
Michel, A.
Chan, G.
Soest, H. van
Romanowicz, R. J.
Meresa, H. K.
Doroszkiewicz, J.
Fenner, D.
Sanders, T. G. M.
Heinrich, I.
Simard, S.
Helle, G.
Delsa, L.
Saveyn, B.
Vrontisi, Z.
Arvesen, A.
Iyer, G.
Kermeli, K.
Ó Broin,  E.
Ruijven, B. van
Albanito, F.
Corstanje, R.
Stephenson, A.
Zawadzka, J.
Assaf, D.
Amar, E.
Salai, M.
Rath, E.
Blyuss, K. B.
Manchanda, R.
Alsaedi, A.
Zaikin, A.
Cui, W.
Dieperink, C.
Hegger, D. L. T.
Bakker, M. H. N.
Green, C.
Kraatz, S.
Jones, G. D.
Droz, B.
Greve, P.
Poffet, D.
McGrath, S. P.
Winkel, L. H. E.
Meng, D.
Ghaffari, H. O.
Müller, S.
Huang, L.
Fan, Z.
Shangguan, Z.
Joas, A.
Herzfeld, U. C.
Yau, A. M.
Bender, M. L.
Brook, E. J.
Hoffmann, J.
Södergren, A. H.
McDonald, A. J.
Kathamuthu, T.
Small, M. J.
Kremer, P. Z.
Hamstead, Z.
Andersson, E.
Kabisch, N.
Lorance Rall,  E.
Voigt, A.
Baró, F.
Hansen, R.
Kronenberg, J.
Langemeyer, J.
Pauleit, S.
Schewenius, M.
Ham, C. van der
Wurster, D.
Elmqvist, T.
Lauf, S.
Zimmermann, K.
Claus, T.
Uhlmann, W.
Redetzky, M.
Müller, F.
Schoenheinz, D.
Pforte, L.
Weddige, U.
Teichmann, C.
Horton, R.
Sari Kovats,  R.
Lotze, H. K.
Mearns, L. O.
Navarra, A.
Themessl, M.
Vincent, K.
Fransen, T.
Sha, F.
Carvalho, J. A.
Vasconcelos, G. L.
Yue, X.
Ma, J.
Sun, Y.
Yuan, X.
Borges, F. S.
Borges, R. R.
Iarosz, K. C.
O’Leary, G.
Whitse, J. W.
Molnos, S.
Mamdouh, T.
Weinkauf, T.
Sande, M. T. van der
Kooistra, L.
Dutrieux, L. P.
Equihua, J.
Gerard, F.
Simões, M.
Hirota, M.
Montade, V.
Staal, A.
Wang-Erlandsson, L
Faias, S. P.
Gardiner, B.
Gonzalez-Olabarria, J. R.
Guerra Hernández,  J.
Nicoll, B.
Palahi, M.
Palma, J. HN.
Paulo, J. A.
Pukkala, T.
Yousefpour, R.
Mountaga, L.
Bah, A.
Cui, H.
Mu, M.
Tum, M.
Clift, R.
Sim, S.
King, H.
Chenoweth, J. L.
Christie, I.
Clavreul, J.
Müller, Ca.
Posthuma, L.
Chaplin-Kramer, R.
Chatterton, J.
DeClerck, F.
Druckmann, A.
France, C.
Franco, A.
Goedkoop, M.
Hauschild, M. Z.
Huijbregts, M. A. J.
Lee, J.
Mair, S.
Marshall, S.
McLachlan, M. S.
Milà i Canals,  L.
Price, E.
Suckling, J.
Murphy, R.
Vikhamar Schuler,  D.
Nemet, G. F.
Steinmann, B. A.
Ignar, S.
Peter U.,  Clark
Jeremy D.,  Shakun
Shaun A.,  Marcott
Alan C.,  Mix
Michael, Eby
Scott, Kulp
Anders, Levermann
Glenn A.,  Milne
Patrik L.,  Pfister
Benjamin D.,  Santer
Daniel P.,  Schrag
Susan, Solomon
Thomas F.,  Stocker
Benjamin H.,  Strauss
Andrew J.,  Weaver
Ricarda, Winkelmann
David, Archer
Edouard, Bard
Aaron, Goldner
Kurt, Lambeck
Raymond T.,  Pierrehumbert
Gian-Kasper, Plattner
Kirchen, K.
Kutza, H.
Arets, E. J. M. M.
Garcia Alaniz,  N.
Mwampamba, T. H.
Parr, T.
Pena-Claros, M.
Mäs, M.
Kolb, J. J.
Gelbrecht, M.
Ziegler, R.
Chang, J.
François, L.
Henrot, A.-J.
Morfopoulos, C.
Pan, S.
Tian, H.
Mehnert, M.
Guillaume, J. H. A.
Hlvalinka, P.
Lenk, S.
Heidrich, O.
Dawson, R. J.
Franke, J. G.
Werner, J. P.
Ibarreta, D.
Lechleitner, F.
Zhang, Malu
Qu, Hong
Xie, Xiurui
Tian, Y.
Saadi Failali,  N.
Hov, O.
Soest, H. L. van
Calvin, K. V.
Lawrence, P.
Skalsky, R.
Song, C. X.
de Wit,  A.
Andersson, J.
Stöber, S.
Chepkoech, W.
Neubert, S.
Kurgat, B.
Bett, H.
Gans, F.
Metzger, S.
Waagsaether, K.
Kloppers, K.
Kara, T.
Belaia, Mariia
Funke, Michael
Glanemann, Nicole
Takayasu, H.
Takayasu, M.
Thom, D.
Kautz, M.
Martin-Benito, D.
Peltoniemi, M.
Wild, J.
Ascoli, D.
Petr, M.
Honkaniemi, J.
Trotsiuk, V.
Mairota, P.
Svoboda, M.
Nagel, T. A.
Willner, S.
Gosling, S.
Müller Schmied,  H.
Portmann, F.
Pokhrel, Y.
Ducharne, A.
Guimberteau, M.
Yamazaki, D.
Alvarez-Solas, J.
Akhundzadah, N. A.
Knuerr, A.
Khoshbeen, A. J.
Paeth, H.
